"v1013","mes_nome","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_buscou_atendimento","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"11","Novembro","Ate 1 SM","Nao","43320","2.2194146E7","24.2283","3.5271","5.662"
"9","Setembro","Acima 4 SM",,"15","9829.0",,,
"11","Novembro","2 a 4 SM","Sim","11515","7923810.0","41.5702","4.4368","10.7101"
"9","Setembro","2 a 4 SM","Sim","11504","7752585.0","24.6441","7.2623","0.0"
"11","Novembro","Sem informacao","Nao","193729","9.8867975E7","24.6492","12.6803","19.2617"
"9","Setembro","Ate 1 SM","Sim","5795","3523608.0","23.0074","4.0426","0.0"
"9","Setembro","1 a 2 SM","Sim","13407","9361377.0","32.7737","0.6613","0.0"
"9","Setembro","Ate 1 SM","Nao","43012","2.140438E7","23.9317","5.7632","8.316"
"9","Setembro","Sem informacao","Sim","45815","2.9249273E7","23.3778","12.2549","38.4703"
"11","Novembro","1 a 2 SM","Sim","13455","9504921.0","38.3673","11.1016","6.9797"
"11","Novembro","1 a 2 SM","Nao","39622","2.3176739E7","30.5929","6.4924","7.8254"
"9","Setembro","Sem informacao","Nao","199505","1.00474004E8","22.4591","11.952","21.4542"
"9","Setembro","Acima 4 SM","Sim","10478","7028151.0","22.4463","3.3128","7.6168"
"11","Novembro","Acima 4 SM","Sim","10438","7046803.0","33.5691","3.0054","0.0"
"11","Novembro","Sem informacao","Sim","45765","2.9581979E7","31.5193","8.2079","20.29"
"9","Setembro","1 a 2 SM",,"92","43915.0",,,
"11","Novembro","2 a 4 SM","Nao","13259","7289518.0","30.2925","2.9257","52.134"
"11","Novembro","Ate 1 SM","Sim","5977","3720572.0","36.4391","2.4989","0.0"
"9","Setembro","Sem informacao",,"915","511115.0","0.0",,
"9","Setembro","Acima 4 SM","Nao","3877","2031188.0","18.0534","4.4376","0.0"
"9","Setembro","1 a 2 SM","Nao","39364","2.2656233E7","27.6682","7.7447","39.528"
"11","Novembro","Acima 4 SM","Nao","3727","1971772.0","27.7947","16.3332","15.0437"
"9","Setembro","2 a 4 SM","Nao","13423","7296702.0","24.4474","14.4867","41.4731"
"9","Setembro","2 a 4 SM",,"32","24307.0",,,
"9","Setembro","Ate 1 SM",,"64","25783.0","0.0",,
"11","Novembro","Sem informacao",,"559","331841.0","100.0",,
"10","Outubro","Acima 4 SM","Nao","3627","1918567.0","24.1882","0.0",
"10","Outubro","Ate 1 SM","Sim","5854","3634908.0","31.2506","9.3571","78.4834"
"10","Outubro","Acima 4 SM","Sim","10358","7045689.0","30.2827","8.5711","0.0"
"10","Outubro","2 a 4 SM","Nao","13198","7310133.0","22.7564","3.1314","22.0373"
"10","Outubro","Sem informacao","Nao","194195","9.9403049E7","24.7491","12.7458","28.2702"
"10","Outubro","Ate 1 SM","Nao","42995","2.1974507E7","23.5536","11.3658","43.8431"
"10","Outubro","2 a 4 SM","Sim","11350","7868073.0","31.8847","3.8926","0.0"
"10","Outubro","Sem informacao","Sim","45375","2.9375929E7","29.6195","16.3737","18.214"
"10","Outubro","1 a 2 SM",,"39","31310.0",,,
"10","Outubro","1 a 2 SM","Nao","39346","2.3031542E7","27.6383","3.8541","5.6406"
"10","Outubro","1 a 2 SM","Sim","13442","9499806.0","33.009","2.6943","25.9304"
"10","Outubro","Sem informacao",,"604","384421.0","0.0",,
"10","Outubro","Acima 4 SM",,"23","9127.0","100.0",,
"10","Outubro","Ate 1 SM",,"33","17354.0","0.0",,
"10","Outubro","2 a 4 SM",,"22","18132.0",,,
"11","Novembro","2 a 4 SM",,"12","3815.0","0.0",,
"11","Novembro","1 a 2 SM",,"30","21700.0",,,
"11","Novembro","Ate 1 SM",,"22","13640.0","0.0",,
"11","Novembro","Acima 4 SM",,"8","3139.0",,,
