"v1013","mes_nome","categoria_ocupacional","formalidade_trabalho","grau_isolamento","n_amostra","populacao_estimada","pct_trabalhou","pct_home_office","pct_internado_entre_atendidos"
"11","Novembro",,"Nao aplicavel/Sem informacao","So saiu por saude","39456","2.1880644E7","0.0",,"11.9013"
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","So saiu por saude","149","44993.0","89.1821","100.0","0.0"
"11","Novembro","Fora do mercado","Nao aplicavel/Sem informacao","So saiu por saude","411","154753.0","97.1092",,"71.5732"
"10","Outubro","Setor privado","Informal","Pouca restricao","11086","6501446.0","98.158","48.8328","5.6827"
"11","Novembro","Fora do mercado","Nao aplicavel/Sem informacao","Ficou em casa","2168","842037.0","97.4841",,"8.1276"
"10","Outubro","Conta propria","Nao aplicavel/Sem informacao","Ficou em casa","9130","4460294.0","91.1457","68.0233","9.3254"
"10","Outubro","Domestico","Formal",,"5","2581.0","100.0",,
"11","Novembro","Domestico","Formal","Pouca restricao","1607","931408.0","97.754",,"0.0"
"11","Novembro","Setor publico","Informal","Pouca restricao","3036","1488599.0","95.2461","85.7151","0.0"
"10","Outubro","Setor publico","Informal","So saiu por saude","94","51451.0","67.2758","86.1227","0.0"
"11","Novembro",,"Nao aplicavel/Sem informacao","Pouca restricao","60319","3.2707891E7","0.0",,"6.6542"
"11","Novembro","Setor publico","Informal","So saiu por saude","79","36784.0","56.6993","96.0289","0.0"
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","Ficou em casa","493","310995.0","92.3395","96.685","29.9204"
"10","Outubro","Militar","Nao aplicavel/Sem informacao","Ficou em casa","57","29289.0","86.8883","100.0",
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao","Pouca restricao","32077","1.7564742E7","98.3588","32.8468","3.8917"
"11","Novembro","Domestico","Informal","Ficou em casa","998","527984.0","85.1472",,"0.0"
"11","Novembro","Fora do mercado","Nao aplicavel/Sem informacao","Pouca restricao","2276","871253.0","98.3434",,"0.0"
"11","Novembro","Setor publico","Formal","So saiu por saude","405","222955.0","55.6628","98.6335","8.1364"
"10","Outubro","Setor privado","Informal","So saiu por saude","267","136825.0","77.0","78.3906","8.4722"
"10","Outubro","Domestico","Informal","So saiu por saude","116","56338.0","66.4471",,"48.3323"
"10","Outubro","Setor publico","Formal",,"34","16654.0","89.2984","93.2383",
"10","Outubro","Domestico","Formal","Sem restricao","96","63826.0","90.5254",,"0.0"
"11","Novembro","Setor privado","Formal","Ficou em casa","6101","4072656.0","81.1189","95.8805","11.1461"
"10","Outubro",,"Nao aplicavel/Sem informacao","So saiu por saude","44768","2.458991E7","0.0",,"16.785"
"10","Outubro","Setor privado","Formal",,"142","108027.0","97.5812","95.8601",
"10","Outubro","Empregador","Nao aplicavel/Sem informacao",,"16","17319.0","92.3903","0.0",
"11","Novembro","Setor publico","Formal","Pouca restricao","12095","6368716.0","93.8335","91.8411","9.4278"
"10","Outubro","Domestico","Formal","Ficou em casa","359","179953.0","79.8418",,
"11","Novembro","Setor privado","Informal","Pouca restricao","11218","6573277.0","98.3252","47.176","6.1789"
"11","Novembro","Militar","Nao aplicavel/Sem informacao","So saiu por saude","14","6896.0","63.4011","100.0","0.0"
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Ficou em casa","1010","358257.0","94.3566","27.934","0.0"
"11","Novembro","Fora do mercado","Nao aplicavel/Sem informacao","Sem restricao","252","84785.0","100.0",,
"10","Outubro","Conta propria","Nao aplicavel/Sem informacao","Pouca restricao","31315","1.7204531E7","98.2723","33.2652","5.8818"
"11","Novembro","Setor privado","Informal","Ficou em casa","2099","1211963.0","87.7856","78.2388","0.0"
"11","Novembro","Setor privado","Formal",,"111","87538.0","92.6217","89.2596","100.0"
"10","Outubro","Setor privado","Informal","Ficou em casa","2143","1235476.0","89.0505","80.0311","7.5603"
"10","Outubro","Militar","Nao aplicavel/Sem informacao","Sem restricao","48","25524.0","84.6135","47.9114",
"11","Novembro","Setor publico","Informal","Sem restricao","308","150309.0","93.4616","91.0845","0.0"
"11","Novembro","Domestico","Formal","Sem restricao","109","72339.0","96.4204",,"0.0"
"10","Outubro","Setor publico","Informal","Ficou em casa","916","436712.0","73.6538","98.6841","0.0"
"10","Outubro","Setor privado","Formal","Sem restricao","2467","1634164.0","95.9643","66.9833","5.1152"
"10","Outubro","Conta propria","Nao aplicavel/Sem informacao",,"125","80575.0","98.144","46.0261",
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao",,"3","1435.0","100.0",,
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao",,"92","65199.0","99.3416","48.2505",
"10","Outubro","Domestico","Informal","Pouca restricao","3869","2108981.0","97.9826",,"13.8025"
"10","Outubro","Domestico","Informal","Ficou em casa","993","493451.0","83.0331",,"10.3279"
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Ficou em casa","61","39420.0","82.5582","44.8357","0.0"
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao","Ficou em casa","8704","4292797.0","90.6283","67.447","4.1889"
"11","Novembro","Setor publico","Informal","Ficou em casa","882","420487.0","75.7835","97.3585","13.0255"
"10","Outubro",,"Nao aplicavel/Sem informacao","Pouca restricao","54673","2.9830124E7","0.0",,"8.8704"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Ficou em casa","1080","385064.0","96.1313","43.2001","0.0"
"11","Novembro","Setor privado","Formal","So saiu por saude","673","458057.0","59.5766","95.6419","7.9523"
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Sem restricao","49","39136.0","90.8967","100.0",
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","Sem restricao","379","248188.0","99.2665","41.4301","0.0"
"10","Outubro",,"Nao aplicavel/Sem informacao","Sem restricao","8656","4726318.0","0.0",,"20.8444"
"10","Outubro","Domestico","Formal","Pouca restricao","1622","934904.0","97.5922",,"0.0"
"10","Outubro","Domestico","Informal","Sem restricao","243","149481.0","94.6479",,"0.0"
"11","Novembro","Setor privado","Formal","Pouca restricao","38771","2.5733128E7","97.6004","74.3251","3.9893"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Pouca restricao","1933","845752.0","98.4872","5.9112","0.0"
"10","Outubro","Setor privado","Formal","Pouca restricao","37885","2.5220026E7","97.3729","74.7364","1.6204"
"10","Outubro","Setor publico","Informal","Pouca restricao","3025","1487725.0","94.3378","84.5466","0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","Sem restricao","250","99276.0","98.914",,
"11","Novembro","Militar","Nao aplicavel/Sem informacao","Ficou em casa","57","35394.0","92.2631","82.4425","0.0"
"10","Outubro","Setor publico","Formal","Ficou em casa","4552","2373679.0","72.3135","98.1509","18.0577"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","So saiu por saude","162","45484.0","95.1875","79.1519","0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","So saiu por saude","452","167739.0","96.1971",,"42.9796"
"11","Novembro","Empregador","Nao aplicavel/Sem informacao","Pouca restricao","3450","2028790.0","99.0735","80.1051","2.8916"
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Pouca restricao","2080","901535.0","99.0745","18.86","0.0"
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","Pouca restricao","3430","2007717.0","99.2903","78.2071","10.9625"
"10","Outubro","Setor publico","Formal","So saiu por saude","453","230594.0","54.836","97.7015","8.6632"
"11","Novembro","Domestico","Formal","Ficou em casa","386","192974.0","80.0752",,"18.5676"
"10","Outubro",,"Nao aplicavel/Sem informacao","Ficou em casa","121245","6.5495037E7","0.0",,"13.0275"
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Pouca restricao","538","317927.0","95.2894","30.2241","0.0"
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao","So saiu por saude","943","446186.0","80.8359","74.6423","1.2581"
"10","Outubro","Setor privado","Informal","Sem restricao","1015","598059.0","96.6568","32.9084","0.0"
"11","Novembro",,"Nao aplicavel/Sem informacao","Sem restricao","9186","5054127.0","0.0",,"1.1107"
"11","Novembro","Domestico","Formal","So saiu por saude","42","27992.0","47.9937",,"0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Ficou em casa","60","29912.0","77.761","33.4253",
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao",,"15","5932.0","100.0",,
"11","Novembro","Domestico","Informal","Sem restricao","277","145605.0","93.8663",,
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Sem restricao","221","92338.0","98.9087","0.0",
"11","Novembro","Militar","Nao aplicavel/Sem informacao","Pouca restricao","460","258513.0","97.6696","82.4908","0.0"
"10","Outubro","Setor publico","Formal","Sem restricao","814","425292.0","87.5696","82.8214","0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Pouca restricao","572","332377.0","95.7684","22.5301","0.0"
