"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"9","Setembro","30-39","Parda","Sem informacao",,"51","34532.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","30-39","Preta","Ate 1 SM","Sim","116","80784.0","1.3448","10.7831","8.2492","0.0","1.03","1.4256","18.8708","0.0",
"9","Setembro","18-29","Amarela","2 a 4 SM","Nao","17","9857.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","18-29","Branca","Sem informacao","Sim","2725","2043938.0","0.6237","0.6721","8.6588","0.6379","3.7656","0.3072","13.7298","0.0",
"9","Setembro","30-39","Parda","Ate 1 SM","Nao","5991","3027003.0","1.4286","4.5141","3.6803","0.9551","1.9977","0.365","10.8295","10.6263","0.0"
"9","Setembro","60+","Parda","Sem informacao","Nao","19790","7999303.0","21.6209","50.9588","4.6953","9.7351","4.0313","2.2709","62.143","25.2652","31.4517"
"9","Setembro","18-29","Parda","2 a 4 SM","Sim","440","339652.0","0.6622","1.0506","7.2138","0.5073","1.181","0.4935","9.9205","0.0",
"9","Setembro","50-59","Preta","Ate 1 SM","Sim","99","52821.0","13.2625","33.124","0.887","4.3755","7.413","2.576","43.359",,
"9","Setembro","60+","Preta","Sem informacao","Sim","771","410688.0","20.79","57.4076","5.4849","9.9417","3.7568","4.7878","69.3377","49.279","48.272"
"9","Setembro","30-39","Indigena","2 a 4 SM","Sim","10","4744.0","0.0","10.6274","10.6274","7.6729","7.6729","0.0","10.6274",,
"9","Setembro","60+","Branca","Sem informacao",,"50","26676.0","19.6968","25.6144","0.0","0.0","0.0","0.0","25.6144",,
"9","Setembro","40-49","Branca","2 a 4 SM","Sim","1898","1240094.0","2.9333","13.1063","5.9878","0.988","4.348","1.2382","23.2527","9.6976","0.0"
"9","Setembro","18-29","Parda","1 a 2 SM","Nao","4307","2774232.0","0.4149","1.5158","4.54","0.4184","1.1291","0.1321","7.5823","8.0368","44.1892"
"9","Setembro","40-49","Preta","Sem informacao","Nao","1635","867802.0","7.1277","19.0099","4.8692","2.7599","4.3483","0.689","29.6975","13.3629","0.0"
"9","Setembro","30-39","Preta","1 a 2 SM","Sim","343","252506.0","3.8203","5.914","6.2615","0.5479","1.4732","0.0","15.2582","0.0",
"9","Setembro","60+","Branca","1 a 2 SM","Sim","556","291046.0","16.9172","35.1467","5.285","10.1466","4.4578","4.8289","52.2873","0.0",
"9","Setembro","50-59","Preta","2 a 4 SM","Sim","151","104422.0","15.382","42.8273","4.4363","5.1088","2.1211","0.9094","49.8389","0.0",
"9","Setembro","30-39","Preta","2 a 4 SM","Sim","283","229621.0","0.7414","6.2097","5.1408","0.1272","2.151","0.2326","13.2328","0.0",
"9","Setembro","40-49","Amarela","2 a 4 SM","Nao","31","15862.0","6.7352","19.9597","5.9652","0.0","0.0","0.0","27.6094",,
"9","Setembro","30-39",,"Ate 1 SM","Nao","3","2038.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","30-39","Branca","Acima 4 SM",,"3","1541.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","50-59","Parda","Acima 4 SM","Nao","334","150198.0","5.5749","20.3578","3.9998","3.087","2.1679","0.0","28.3199",,
"9","Setembro","50-59","Branca","Acima 4 SM","Sim","1686","1010638.0","7.4626","24.4864","6.2959","3.074","3.542","2.7331","35.8658","3.6893","100.0"
