"v1013","mes_nome","uf","regiao","n_amostra","populacao_estimada","pct_sem_plano","pct_ate_1_sm_entre_renda_informada","pct_informal_entre_ocupados_com_info","pct_baixa_protecao_domiciliar","media_itens_protecao"
"9","Setembro","43","Sul","22469","1.1412334E7","64.167","19.2748","17.2632","0.1004","4.4864"
"10","Outubro","35","Sudeste","32440","4.6383994E7","59.909","16.4078","17.5378","0.2024","4.4723"
"10","Outubro","33","Sudeste","29028","1.7390505E7","65.1908","21.111","17.82","0.1548","4.4014"
"9","Setembro","35","Sudeste","33477","4.6353803E7","60.2135","15.6292","16.9666","0.2281","4.4654"
"11","Novembro","42","Sul","23432","7271428.0","73.4282","13.3771","13.575","0.1882","4.4994"
"11","Novembro","41","Sul","19872","1.1532178E7","69.1197","18.76","17.3221","0.0557","4.3758"
"10","Outubro","21","Nordeste","20137","7091003.0","93.0904","58.4154","44.0936","0.2366","4.1661"
"10","Outubro","17","Norte","5170","1581932.0","85.2567","46.3905","40.1344","0.0193","4.2269"
"11","Novembro","32","Sudeste","15863","4076377.0","71.6776","34.1384","23.4768","0.2014","4.2352"
"11","Novembro","33","Sudeste","29065","1.7398657E7","65.0893","21.4829","17.8171","0.1991","4.3898"
"11","Novembro","26","Nordeste","17138","9580557.0","81.5774","51.9296","29.611","0.2259","4.2796"
"11","Novembro","25","Nordeste","9873","4024370.0","82.3506","52.8987","37.3393","0.1864","4.2504"
"11","Novembro","31","Sudeste","34339","2.132559E7","69.5859","37.4208","24.9984","0.273","4.322"
"11","Novembro","24","Nordeste","7775","3544602.0","81.4222","51.6665","28.7115","0.2628","4.2883"
"9","Setembro","50","Centro-Oeste","9047","2744631.0","72.1819","23.0107","25.1012","0.0618","4.305"
"10","Outubro","22","Nordeste","8233","3282840.0","84.2879","56.5142","36.8037","0.3914","4.2452"
"10","Outubro","23","Nordeste","16786","9199087.0","83.0847","56.1071","35.6667","0.1904","4.2201"
"9","Setembro","32","Sudeste","15819","4068956.0","72.2819","33.6493","23.236","0.3451","4.2413"
"9","Setembro","33","Sudeste","29312","1.7382332E7","65.3242","21.347","17.5957","0.1097","4.4178"
"10","Outubro","42","Sul","23610","7264241.0","73.8327","13.2435","13.3077","0.2104","4.5015"
"11","Novembro","28","Nordeste","8013","2325994.0","81.5085","55.8861","36.7413","0.1724","4.2913"
"11","Novembro","29","Nordeste","17063","1.4930513E7","83.7504","54.0679","38.5991","0.1188","4.2568"
"9","Setembro","27","Nordeste","11550","3347646.0","88.8455","55.4201","31.6103","0.4662","4.2552"
"9","Setembro","26","Nordeste","16806","9570957.0","81.5957","51.2507","29.589","0.2138","4.2927"
"9","Setembro","28","Nordeste","8226","2322720.0","81.9962","55.0311","37.0115","0.0664","4.3046"
"11","Novembro","16","Norte","2472","859177.0","93.0089","52.8675","28.7722","1.0082","4.3763"
"11","Novembro","27","Nordeste","11403","3349916.0","88.5211","55.6758","32.042","0.4397","4.2256"
"11","Novembro","15","Norte","11878","8681763.0","86.3012","51.4442","36.1953","0.091","4.22"
"11","Novembro","14","Norte","5614","559806.0","94.2114","41.1839","32.3787","0.4982","4.1235"
"10","Outubro","53","Centro-Oeste","6725","3063657.0","63.2314","20.9249","20.5432","0.5021","4.4392"
"11","Novembro","53","Centro-Oeste","6795","3066931.0","63.9993","21.1828","20.1339","0.5046","4.4377"
"11","Novembro","35","Sudeste","32104","4.6414138E7","59.823","16.4639","17.3003","0.2787","4.4703"
"9","Setembro","41","Sul","20204","1.1518629E7","69.6316","18.446","17.2501","0.0238","4.3883"
"10","Outubro","43","Sul","22046","1.1416041E7","63.7023","20.0292","17.2758","0.1019","4.4817"
"10","Outubro","32","Sudeste","15829","4072670.0","71.8722","34.1118","23.8248","0.2727","4.2382"
"9","Setembro","24","Nordeste","8039","3540150.0","81.0447","50.3913","28.29","0.4213","4.3098"
"9","Setembro","31","Sudeste","34527","2.130566E7","69.459","36.853","24.6288","0.3034","4.3388"
"9","Setembro","25","Nordeste","10046","4020919.0","82.6902","51.8068","36.5349","0.195","4.2574"
"10","Outubro","31","Sudeste","34230","2.1315646E7","69.5269","37.6164","25.0097","0.3083","4.3275"
"9","Setembro","14","Norte","5484","556686.0","94.1122","43.8474","31.0038","0.4986","4.1709"
"10","Outubro","13","Norte","10467","4061064.0","88.0792","46.4773","34.4497","0.4561","4.1699"
"10","Outubro","15","Norte","11840","8674596.0","86.4265","51.0727","37.3839","0.1664","4.2205"
"10","Outubro","14","Norte","5576","558248.0","94.2757","42.8572","31.2059","0.4877","4.1529"
"9","Setembro","13","Norte","10547","4056052.0","87.9405","46.2423","33.7199","0.3988","4.208"
"9","Setembro","15","Norte","12046","8667429.0","86.4289","51.4543","35.4641","0.1786","4.2448"
"10","Outubro","41","Sul","19908","1.1525409E7","69.2984","18.9027","17.9494","0.0429","4.3793"
"11","Novembro","43","Sul","21931","1.1419734E7","63.2773","19.9015","17.3424","0.1358","4.4683"
"10","Outubro","51","Centro-Oeste","11159","3482577.0","79.8886","21.5869","24.6108","0.055","4.3162"
"10","Outubro","52","Centro-Oeste","13840","7141814.0","71.6938","31.9503","29.2605","0.1368","4.2986"
"10","Outubro","12","Norte","6318","881352.0","92.9741","44.4181","25.9163","0.4551","4.1731"
"10","Outubro","11","Norte","5443","1791036.0","89.3721","30.9833","26.3068","0.3199","4.3013"
"9","Setembro","52","Centro-Oeste","13942","7134010.0","72.302","31.5319","28.5725","0.088","4.3091"
"11","Novembro","13","Norte","10341","4066057.0","87.9302","45.0703","33.7167","0.3564","4.158"
"9","Setembro","53","Centro-Oeste","6386","3060379.0","63.1565","20.4201","19.955","0.1995","4.4798"
"10","Outubro","50","Centro-Oeste","8730","2747059.0","72.5217","22.33","24.8019","0.129","4.2762"
"9","Setembro","22","Nordeste","8424","3282199.0","84.5434","57.1252","36.1702","0.4501","4.2551"
