"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"10","Outubro","0-17","Amarela","B0106","Cancer","381","0","0.0","0.0"
"10","Outubro","40-49","Indigena","B0106","Cancer","198","0","0.0","0.0"
"10","Outubro","60+","Branca","B0106","Cancer","33246","1566","796179.0","5.0541"
"10","Outubro","40-49",,"B0106","Cancer","14","0","0.0","0.0"
"10","Outubro","50-59","Parda","B0106","Cancer","23044","308","147824.0","1.4459"
"10","Outubro","0-17","Parda","B0106","Cancer","47618","40","24029.0","0.0915"
"10","Outubro","60+","Indigena","B0106","Cancer","212","5","3095.0","3.8566"
"10","Outubro","0-17","Indigena","B0106","Cancer","397","1","1855.0","1.2843"
"10","Outubro","50-59","Indigena","B0106","Cancer","185","2","1718.0","2.4938"
"10","Outubro","30-39","Preta","B0106","Cancer","5185","20","10828.0","0.3238"
"10","Outubro","18-29","Amarela","B0106","Cancer","380","0","0.0","0.0"
"10","Outubro","60+","Amarela","B0106","Cancer","503","24","15778.0","4.6207"
"10","Outubro","18-29","Parda","B0106","Cancer","33153","62","42998.0","0.2183"
"10","Outubro","50-59","Amarela","B0106","Cancer","224","1","1080.0","0.8204"
"10","Outubro","18-29","Preta","B0106","Cancer","5645","9","5450.0","0.1407"
"10","Outubro","40-49","Preta","B0106","Cancer","5057","35","17577.0","0.6021"
"10","Outubro","30-39","Parda","B0106","Cancer","28057","106","64362.0","0.4022"
"10","Outubro","50-59","Branca","B0106","Cancer","22192","468","220699.0","1.9902"
"10","Outubro","18-29","Indigena","B0106","Cancer","259","1","366.0","0.3327"
"10","Outubro","40-49","Branca","B0106","Cancer","22129","254","141968.0","1.1108"
"10","Outubro","30-39","Indigena","B0106","Cancer","252","1","381.0","0.3163"
"10","Outubro","30-39","Branca","B0106","Cancer","21918","114","74880.0","0.5245"
"10","Outubro","30-39","Amarela","B0106","Cancer","379","3","3708.0","1.2514"
"10","Outubro","60+","Preta","B0106","Cancer","5329","143","74171.0","2.9462"
"10","Outubro","18-29","Branca","B0106","Cancer","23837","52","36762.0","0.2273"
"10","Outubro","40-49","Parda","B0106","Cancer","26651","175","102346.0","0.7727"
"10","Outubro","0-17","Preta","B0106","Cancer","5549","2","2077.0","0.0592"
"10","Outubro","40-49","Amarela","B0106","Cancer","338","3","1201.0","0.5528"
"10","Outubro","0-17","Branca","B0106","Cancer","35751","31","21094.0","0.0913"
"10","Outubro","50-59","Preta","B0106","Cancer","4511","68","38611.0","1.6624"
"10","Outubro","60+","Parda","B0106","Cancer","27793","679","308745.0","2.6506"
"10","Outubro","30-39",,"B0106","Cancer","7","0","0.0","0.0"
"11","Novembro","18-29","Parda","B0106","Cancer","33109","59","43968.0","0.2227"
"11","Novembro","0-17","Parda","B0106","Cancer","47689","36","18541.0","0.0707"
"9","Setembro","60+","Indigena","B0106","Cancer","214","5","3101.0","3.7359"
"9","Setembro","40-49","Indigena","B0106","Cancer","200","0","0.0","0.0"
"9","Setembro","0-17","Preta","B0106","Cancer","5700","2","1996.0","0.0564"
"11","Novembro","50-59","Branca","B0106","Cancer","22273","472","224795.0","2.0128"
"11","Novembro","30-39","Indigena","B0106","Cancer","245","1","392.0","0.3118"
"11","Novembro","60+","Amarela","B0106","Cancer","501","23","15687.0","4.572"
"11","Novembro","40-49","Branca","B0106","Cancer","22198","251","132510.0","1.0374"
"9","Setembro","18-29","Branca","B0106","Cancer","24458","52","33392.0","0.2059"
"9","Setembro","40-49","Amarela","B0106","Cancer","340","3","1424.0","0.6499"
"11","Novembro","50-59","Parda","B0106","Cancer","23149","306","146155.0","1.4308"
"9","Setembro","30-39","Parda","B0106","Cancer","28670","103","58366.0","0.3654"
"9","Setembro","40-49","Preta","B0106","Cancer","5140","38","18374.0","0.626"
