"v1013","mes_nome","faixa_etaria","n_amostra","populacao_estimada","pct_buscou_atendimento","pct_internado_entre_atendidos","pct_entubado_entre_internados","pct_alguma_comorbidade"
"11","Novembro","30-39","55885","3.4130485E7","30.9474","6.6259","13.3005","13.8811"
"10","Outubro","18-29","63287","4.025984E7","26.266","2.4085","13.0961","9.4493"
"10","Outubro","40-49","54387","2.9339861E7","26.9922","6.9504","43.2651","24.1875"
"10","Outubro","60+","67093","3.0452296E7","23.7095","30.1772","26.563","60.9416"
"11","Novembro","40-49","54810","2.939026E7","27.5602","6.7181","21.3154","24.155"
"11","Novembro","18-29","63102","4.0241854E7","30.7244","4.2972","11.9776","9.6105"
"11","Novembro","50-59","50366","2.3943828E7","27.3142","10.7725","9.3452","39.6062"
"10","Outubro","0-17","89732","5.342831E7","29.112","7.5001","8.6036","7.3184"
"10","Outubro","50-59","50164","2.3913636E7","24.0958","11.7816","20.4956","39.5085"
"11","Novembro","0-17","89688","5.3397933E7","30.5076","3.8648","3.2186","7.3853"
"11","Novembro","60+","67587","3.0548009E7","23.9594","21.4891","22.1423","61.2219"
"10","Outubro","30-39","55798","3.4128606E7","28.1004","5.5878","37.4241","13.7966"
"9","Setembro","18-29","64728","4.0232761E7","24.9216","4.2777","19.9907","9.424"
"9","Setembro","50-59","50729","2.3883923E7","21.0652","9.9782","50.4722","39.1717"
"9","Setembro","0-17","91928","5.3500153E7","23.6312","3.7082","28.4248","7.0675"
"9","Setembro","40-49","55153","2.929048E7","25.8346","6.7867","23.1325","23.8806"
"9","Setembro","30-39","57104","3.4126069E7","25.3474","4.8616","0.0","13.6049"
"9","Setembro","60+","67656","3.0359065E7","22.6252","24.7062","26.1779","60.2386"
