"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"11","Novembro","Feminino","Parda","30-39","Superior completo","2 a 4 SM","495","316623.0"
"10","Outubro","Masculino","Preta","40-49","Medio completo","1 a 2 SM","315","210762.0"
"10","Outubro","Masculino","Parda","30-39","Medio completo","2 a 4 SM","686","514992.0"
"10","Outubro","Feminino","Parda","40-49","Medio incompleto","Sem informacao","540","255872.0"
"10","Outubro","Feminino","Branca","40-49","Medio completo","1 a 2 SM","1022","636811.0"
"11","Novembro","Feminino","Parda","60+","Medio incompleto","Ate 1 SM","43","17538.0"
"11","Novembro","Feminino","Parda","50-59","Fundamental incompleto","1 a 2 SM","333","155876.0"
"11","Novembro","Feminino","Branca","18-29","Superior completo","1 a 2 SM","656","498506.0"
"11","Novembro","Masculino","Branca","50-59","Fundamental completo","2 a 4 SM","200","109252.0"
"11","Novembro","Feminino","Preta","18-29","Medio completo","1 a 2 SM","178","139518.0"
"11","Novembro","Masculino","Branca","60+","Superior completo","Sem informacao","1136","645030.0"
"11","Novembro","Feminino","Parda","18-29","Medio completo","Acima 4 SM","9","7143.0"
"10","Outubro","Feminino","Branca","60+","Sem instrucao","Sem informacao","1710","717107.0"
"10","Outubro","Masculino","Parda","30-39","Medio completo","1 a 2 SM","1917","1310815.0"
"10","Outubro","Feminino","Branca","40-49","Fundamental completo","1 a 2 SM","248","132746.0"
"10","Outubro","Feminino","Branca","18-29","Superior completo","Sem informacao","587","420495.0"
"10","Outubro","Masculino","Branca","40-49","Medio completo","2 a 4 SM","821","540977.0"
"10","Outubro","Masculino","Branca","40-49","Superior completo","1 a 2 SM","279","167212.0"
"10","Outubro","Masculino","Parda","50-59","Medio completo","Sem informacao","675","353259.0"
"10","Outubro","Feminino","Branca","60+","Medio incompleto","Sem informacao","532","264435.0"
"10","Outubro","Feminino","Branca","50-59","Superior completo","Ate 1 SM","121","65209.0"
"10","Outubro","Feminino","Branca","40-49","Superior completo","Sem informacao","581","364017.0"
"10","Outubro","Masculino","Branca","40-49","Medio completo","Acima 4 SM","271","190184.0"
"10","Outubro","Masculino","Branca","30-39","Pos-graduacao","1 a 2 SM","65","44159.0"
"10","Outubro","Feminino","Branca","30-39","Fundamental completo","Ate 1 SM","127","67239.0"
"10","Outubro","Masculino","Preta","18-29","Fundamental incompleto","1 a 2 SM","68","49292.0"
"10","Outubro","Feminino","Branca","30-39","Superior incompleto","2 a 4 SM","123","86832.0"
"10","Outubro","Masculino","Preta","40-49","Medio completo","2 a 4 SM","121","85680.0"
"10","Outubro","Masculino","Parda","18-29","Fundamental incompleto","Ate 1 SM","701","391694.0"
"10","Outubro","Feminino","Parda","30-39","Fundamental completo","1 a 2 SM","112","86834.0"
"10","Outubro","Feminino","Branca","18-29","Pos-graduacao","2 a 4 SM","103","62194.0"
"10","Outubro","Masculino","Amarela","18-29","Medio completo","1 a 2 SM","15","13311.0"
"10","Outubro","Masculino","Branca","30-39","Superior completo","Ate 1 SM","113","78527.0"
"10","Outubro","Feminino","Preta","30-39","Pos-graduacao","2 a 4 SM","45","33478.0"
"10","Outubro","Masculino","Amarela","60+","Superior incompleto","Sem informacao","8","8098.0"
"10","Outubro","Feminino","Amarela","30-39","Medio incompleto","Acima 4 SM","1","3133.0"
"10","Outubro","Masculino","Amarela","30-39","Fundamental completo","Ate 1 SM","2","1999.0"
"10","Outubro","Feminino","Amarela","30-39","Medio completo","Sem informacao","28","17743.0"
"10","Outubro","Masculino","Amarela","40-49","Superior completo","Acima 4 SM","9","10631.0"
"10","Outubro","Feminino","Parda","60+","Medio completo","Ate 1 SM","142","66508.0"
"10","Outubro","Masculino","Preta","30-39","Superior incompleto","2 a 4 SM","34","22255.0"
"10","Outubro","Feminino",,"30-39","Sem instrucao","Sem informacao","1","2031.0"
"10","Outubro","Feminino","Parda","60+","Fundamental completo","2 a 4 SM","11","8204.0"
